Fiscal Year,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,NAICS,Tax ID,State,City,ZIP,Cleaned Employer Name,USCIS Company Name,slug,companyURL,companyMembersURL,employeesCount,LinkedIn Company Name,LinkedIn Company IDs
2022,3,0,12,0,54,2193,AL,BIRMINGHAM,35209,DAXKO,DAXKO LLC,daxko,https://www.linkedin.com/company/daxko,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2221450%22%2C%2268564452%22%2C%2274222914%22%2C%2215351175%22%2C%2211326857%22%2C%2264614434%22%2C%2268937549%22%2C%222246759%22%2C%221779779%22%2C%2210083605%22%2C%2224792314%22%2C%22497687%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Daxko,732,21450|68564452|74222914|15351175|11326857|64614434|68937549|2246759|1779779|10083605|24792314|497687
2022,56,0,320,3,49,8017,AL,CLIO,36017,FEDEX CORPORATE SERVICES,FEDEX CORPORATE SERVICES INC,fedex,https://www.linkedin.com/company/fedex,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221669%22%2C%221667%22%2C%222316%22%2C%221668%22%2C%22397014%22%2C%2286967006%22%2C%221670%22%2C%223866%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,FedEx,245597,1669|1667|2316|1668|397014|86967006|1670|3866
2022,4,0,5,0,33,9687,AL,PINE HILL,36769,GD COPPER U S A,GD COPPER U S A INC,gd-copper-u.s.a.-inc,https://www.linkedin.com/company/gd-copper-u.s.a.-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2260019679%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,"GD COPPER (U.S.A.), INC",43,60019679
2022,12,0,45,0,54,3327,AL,BESSEMER,35020,GIATTINA AYCOCK ARCHITECTURE STUDIO,GIATTINA AYCOCK ARCHITECTURE STUDIO INC,giattina-aycock-architecture-studio,https://www.linkedin.com/company/giattina-aycock-architecture-studio,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223007032%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Giattina Aycock Architecture Studio,24,3007032
2022,22,0,31,1,54,6620,AL,MOBILE,36602,GOODWYN MILLS & CAWOOD,GOODWYN MILLS & CAWOOD INC,goodwyn-mills-and-cawood,https://in.linkedin.com/company/goodwyn-mills-and-cawood,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22153290%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Goodwyn Mills Cawood,447,153290
2022,3,0,17,0,54,8821,AL,TUSCALOOSA,35404,GPS IT SOLUTIONS,GPS IT SOLUTIONS LLC,gpstrackit,https://www.linkedin.com/company/gpstrackit,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22480748%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,GPS Trackit,152,480748
2022,19,0,63,0,54,8451,AL,MOBILE,36609,GULF STATES ENGINEERING,GULF STATES ENGINEERING INC,gulfstatesengineeringinc,https://www.linkedin.com/company/gulfstatesengineeringinc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221612885%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,"Gulf States Engineering, Inc.",75,1612885
2022,17,0,16,1,54,228,AL,DOTHAN,36305,GURU GROUP,GURU GROUP LLC,gurugroupllc,https://www.linkedin.com/company/gurugroupllc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2256407715%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,"Guru Group, LLC",166,56407715
2022,2,0,6,0,54,7711,AL,OPELIKA,36801,HANA FACTORY AUTOMATION CORPORATIO,HANA FACTORY AUTOMATION CORPORATIO,hana-factory-automation,https://www.linkedin.com/company/hana-factory-automation,https://www.linkedin.com/search/results/people/?currentCompany=%5B%229970186%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,HANA FACTORY AUTOMATION,8,9970186
2022,3,0,9,0,54,2530,AL,MOBILE,36602,HARGROVE & ASSOCIATES HARG,HARGROVE & ASSOCIATES INC DBA HARG,hargrove-engineers-constructors,https://in.linkedin.com/company/hargrove-engineers-constructors,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221375914%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Hargrove Engineers + Constructors,1783,1375914
2022,2,0,6,0,62,4476,AL,DOTHAN,36301,HOUSTON CO HEALTHCARE AUTHORITY D/,HOUSTON CO HEALTHCARE AUTHORITY D/,houston-healthcare,https://www.linkedin.com/company/houston-healthcare,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222833068%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Houston Healthcare,716,2833068
2022,4,0,12,0,62,194,AL,HUNTSVILLE,35801,HUNTSVILLE RENAL CLINIC P C,HUNTSVILLE RENAL CLINIC P C,huntsville-renal-clinic,https://www.linkedin.com/company/huntsville-renal-clinic,https://www.linkedin.com/search/results/people/?currentCompany=%5B%228436118%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Huntsville Renal Clinic,18,8436118
2022,0,0,6,0,33,902,AL,MONTGOMERY,36105,HYUNDAI POWER TRANSFORMERS,HYUNDAI POWER TRANSFORMERS USA INC,hyundai-power-transformers-usa,https://www.linkedin.com/company/hyundai-power-transformers-usa,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222470425%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Hyundai Power Transformers USA,157,2470425
2022,0,0,5,0,62,2832,AL,MOBILE,36601,IMC DIAGNOSTIC AND MEDICAL CLINIC,IMC DIAGNOSTIC AND MEDICAL CLINIC LLC,imc-diagnostic-and-medical-clinic-pc,https://www.linkedin.com/company/imc-diagnostic-and-medical-clinic-pc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2257038061%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,IMC-DIAGNOSTIC AND MEDICAL CLINIC PC,10,57038061
2022,5,0,8,0,52,3862,AL,BIRMINGHAM,35203,INFINITY INSURANCE COMPANY KEMPER AUTO,INFINITY INSURANCE COMPANY DBA KEMPER AUTO,infinity-insurance,https://www.linkedin.com/company/infinity-insurance,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2213944%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Infinity Insurance,920,13944
2022,4,1,35,1,54,1918,AL,TUSCALOOSA,35404,INFODRIVE SYSTEMS,INFODRIVE SYSTEMS INC,infodrive-systems-llc,https://www.linkedin.com/company/infodrive-systems-llc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%227949329%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,"InfoDrive Systems, Inc.",7,7949329
2022,6,0,7,0,62,6113,AL,MADISON,35758,INTEGRATED BEHAVIORAL HEALTH,INTEGRATED BEHAVIORAL HEALTH,integratedbehavioralhealth,https://www.linkedin.com/company/integratedbehavioralhealth,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2210783110%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Integrated Behavioral Health,59,10783110
2022,4,0,19,0,54,3222,AL,MADISON,35758,INTERGRAPH CORPORATION,INTERGRAPH CORPORATION,intergraph-corporation,https://www.linkedin.com/company/intergraph-corporation,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221325028%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Intergraph Corporation,49,1325028
2022,7,0,9,1,54,6096,AL,HUNTSVILLE,35806,IREPERTOIRE,IREPERTOIRE INC,irepertoire-inc-,https://www.linkedin.com/company/irepertoire-inc-,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223761907%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,"iRepertoire, Inc.",20,3761907
2022,42,0,61,1,61,1099,AL,JACKSONVILLE,36265,JACKSONVILLE STATE UNIV,JACKSONVILLE STATE UNIV,jacksonville-university-college-of-law,https://www.linkedin.com/company/jacksonville-university-college-of-law,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2286704310%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Jacksonville University College of Law,5,86704310
2022,5,2,13,0,54,1179,AL,MOBILE,36604,LAURENCE AND ASSOCIATES,LAURENCE AND ASSOCIATES LLC,laurence-and-associates-llc,https://www.linkedin.com/company/laurence-and-associates-llc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2290400879%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,"Laurence and Associates, LLC",2,90400879
2022,5,0,31,1,33,4493,AL,OPELIKA,36801,MANDO AMERICA CORPORATION,MANDO AMERICA CORPORATION,mando-corp,https://www.linkedin.com/company/mando-corp,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22777919%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Mando,2648,777919
2022,29,1,40,1,61,6261,AL,BIRMINGHAM,35226,MEDICAL COLLEGE OF WISCONSIN,MEDICAL COLLEGE OF WISCONSIN INC,the-medical-college-of-wisconsin-inc,https://www.linkedin.com/company/the-medical-college-of-wisconsin-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223922568%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,The Medical College Of Wisconsin Inc,97,3922568
2022,0,0,5,0,33,2523,AL,SATSUMA,36572,MITTERNIGHT BOILER WORKS,MITTERNIGHT BOILER WORKS INC,mitternight,https://www.linkedin.com/company/mitternight,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223914971%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,MITTERNIGHT,31,3914971
2022,9,1,14,0,54,8456,AL,BIRMINGHAM,35243,MOLECULAR DESIGNS,MOLECULAR DESIGNS LLC,molecular-designs,https://www.linkedin.com/company/molecular-designs,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2269477560%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Molecular Designs,54,69477560
2022,3,0,14,1,54,9106,AL,BIRMINGHAM,35242,MY SUPPLY CHAIN GROUP,MY SUPPLY CHAIN GROUP LLC,mysupplychaingroup,https://www.linkedin.com/company/mysupplychaingroup,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22490149%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,MSCG // My Supply Chain Group LLC,117,490149
2022,10,0,10,0,54,1614,AL,OPELIKA,36804,NALARA QUALITY SYSTEM,NALARA QUALITY SYSTEM LLC,nqs-nalara-quality-system-,https://www.linkedin.com/company/nqs-nalara-quality-system-,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2288261237%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,NQS (Nalara Quality System),2,88261237
2022,122,4,502,19,54,2883,AL,TUSCALOOSA,35405,OSHIN AUTOMATION AND ROBOTICS,OSHIN AUTOMATION AND ROBOTICS LLC,robex-us,https://www.linkedin.com/company/robex-us,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2233180773%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,RōBEX,48,33180773
2022,0,0,5,0,33,5412,AL,HUNTSVILLE,35805,PERFORMANCE DRONE WORKS,PERFORMANCE DRONE WORKS LLC,performance-drone-works-llc,https://www.linkedin.com/company/performance-drone-works-llc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2264288868%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,PDW,50,64288868
2022,96,1,590,6,54,8324,AL,MOBILE,36607,PRICEWATERHOUSECOOPERS LLP,PRICEWATERHOUSECOOPERS LLP,,,,,,
2022,11,0,42,1,54,8325,AL,MOBILE,36695,PROJEXIV ENVIRONMENTAL,PROJEXIV ENVIRONMENTAL LLC,projexiv-environmental-llc,https://www.linkedin.com/company/projexiv-environmental-llc/,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2282839688%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Projexiv Environmental,2,82839688
2022,8,0,24,0,52,1391,AL,BIRMINGHAM,35203,REGIONS BANK,REGIONS BANK,regions-financial-corporation,https://www.linkedin.com/company/regions-financial-corporation,https://www.linkedin.com/search/results/people/?currentCompany=%5B%224224%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Regions Bank,19941,4224
2022,0,0,5,0,62,9748,AL,BIRMINGHAM,35242,REHAB EMPLOYEE SERVICES,REHAB EMPLOYEE SERVICES LLC,,,,,,
2022,15,0,16,0,62,,AL,ALEXANDER CITY,35010,RUSSELL MEDICAL CENTER,RUSSELL MEDICAL CENTER,russell-medical-center,https://www.linkedin.com/company/russell-medical-center,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22975890%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Russell Medical,241,975890
2022,3,0,7,0,52,7085,AL,BIRMINGHAM,35243,RX BENEFITS,RX BENEFITS INC,rxbenefits-inc-,https://www.linkedin.com/company/rxbenefits-inc-,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222873210%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,"RxBenefits, Inc.",687,2873210
2022,2,0,8,0,54,853,AL,MOBILE,36608,SAFECO SAFETY PLUS,SAFECO INC DBA SAFETY PLUS INC,safeco-insurance,https://www.linkedin.com/company/safeco-insurance,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223931%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Safeco Insurance,2425,3931
2022,13,0,25,0,54,2045,AL,MONTGOMERY,36104,SEAY SEAY AND LITCHFIELD PC,SEAY SEAY AND LITCHFIELD PC,seay-seay-&-litchfield-p.c.,https://www.linkedin.com/company/seay-seay-&-litchfield-p.c.,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2215691601%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Seay Seay & Litchfield,29,15691601
2022,94,2,573,5,54,6195,AL,CROPWELL,35054,SERVICENOW,SERVICENOW INC,servicenow,https://in.linkedin.com/company/servicenow,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2229352%22%2C%222978982%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ServiceNow,22130,29352|2978982
2022,16,0,57,0,51,2743,AL,BIRMINGHAM,35203,SHIPT,SHIPT INC,shift-technologies-inc,https://in.linkedin.com/company/shift-technologies-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223563452%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Shift,548,3563452
2022,0,0,6,0,54,8868,AL,BIRMINGHAM,35205,SOUTHERN RESEARCH INSTITUTE,SOUTHERN RESEARCH INSTITUTE,southernresearch,https://www.linkedin.com/company/southernresearch,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2220725%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Southern Research,421,20725
2022,20,1,26,0,54,951,AL,BIRMINGHAM,35209,SOUTHERN VETERINARIAN PARTNERS,SOUTHERN VETERINARIAN PARTNERS,southern-veterinary-partners,https://www.linkedin.com/company/southern-veterinary-partners,https://www.linkedin.com/search/results/people/?currentCompany=%5B%226431701%22%2C%224729651%22%2C%2258536339%22%2C%2265417416%22%2C%2265441525%22%2C%2259054582%22%2C%2215476902%22%2C%2233117728%22%2C%2265442292%22%2C%2253845966%22%2C%228856852%22%2C%2265466265%22%2C%2265403087%22%2C%2259926364%22%2C%228466352%22%2C%224193612%22%2C%224030669%22%2C%2251691022%22%2C%229567126%22%2C%229652298%22%2C%223900581%22%2C%2258856877%22%2C%2270970034%22%2C%2261858297%22%2C%225434985%22%2C%224130317%22%2C%2265451585%22%2C%2265451589%22%2C%2265447730%22%2C%2265444065%22%2C%2258719719%22%2C%226220035%22%2C%2215565613%22%2C%224507746%22%2C%224320358%22%2C%2263606099%22%2C%226881367%22%2C%2265471439%22%2C%229052260%22%2C%2270437269%22%2C%2265454541%22%2C%229749933%22%2C%224489046%22%2C%2270437273%22%2C%229723308%22%2C%2258838082%22%2C%2258723060%22%2C%2233120369%22%2C%224137663%22%2C%224025731%22%2C%2258432617%22%2C%2259228555%22%2C%226721581%22%2C%228430261%22%2C%2265418019%22%2C%2265457826%22%2C%228904105%22%2C%2258767526%22%2C%223900007%22%2C%2265458634%22%2C%2257171911%22%2C%224505704%22%2C%228074107%22%2C%224201103%22%2C%2265449254%22%2C%2268544422%22%2C%2263316570%22%2C%226573587%22%2C%2255532580%22%2C%224435874%22%2C%226283489%22%2C%2233144073%22%2C%2233048709%22%2C%2256466559%22%2C%2258431479%22%2C%2257317871%22%2C%2255030805%22%2C%224689595%22%2C%2257123460%22%2C%2261307321%22%2C%2243314314%22%2C%2215586355%22%2C%224154723%22%2C%2215394813%22%2C%2258035938%22%2C%224710203%22%2C%2227061698%22%2C%224027511%22%2C%227130999%22%2C%229864992%22%2C%2215608243%22%2C%2270968099%22%2C%226560494%22%2C%224516492%22%2C%2261732654%22%2C%224152816%22%2C%2253655308%22%2C%2265472232%22%2C%2254529099%22%2C%224735970%22%2C%224028397%22%2C%224207580%22%2C%2215556798%22%2C%2258393337%22%2C%2243313561%22%2C%226204366%22%2C%2253765599%22%2C%2215653784%22%2C%2255618064%22%2C%2254955616%22%2C%229037396%22%2C%2215398675%22%2C%228212321%22%2C%2265401642%22%2C%2233010039%22%2C%2216000422%22%2C%224248280%22%2C%228278261%22%2C%224762345%22%2C%224014926%22%2C%2265467136%22%2C%221275673%22%2C%2233062760%22%2C%2270430683%22%2C%2265453781%22%2C%224626487%22%2C%2216060870%22%2C%224409973%22%2C%224031014%22%2C%224020374%22%2C%2233028763%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Southern Veterinary Partners,1935,6431701|4729651|58536339|65417416|65441525|59054582|15476902|33117728|65442292|53845966|8856852|65466265|65403087|59926364|8466352|4193612|4030669|51691022|9567126|9652298|3900581|58856877|70970034|61858297|5434985|4130317|65451585|65451589|65447730|65444065|58719719|6220035|15565613|4507746|4320358|63606099|6881367|65471439|9052260|70437269|65454541|9749933|4489046|70437273|9723308|58838082|58723060|33120369|4137663|4025731|58432617|59228555|6721581|8430261|65418019|65457826|8904105|58767526|3900007|65458634|57171911|4505704|8074107|4201103|65449254|68544422|63316570|6573587|55532580|4435874|6283489|33144073|33048709|56466559|58431479|57317871|55030805|4689595|57123460|61307321|43314314|15586355|4154723|15394813|58035938|4710203|27061698|4027511|7130999|9864992|15608243|70968099|6560494|4516492|61732654|4152816|53655308|65472232|54529099|4735970|4028397|4207580|15556798|58393337|43313561|6204366|53765599|15653784|55618064|54955616|9037396|15398675|8212321|65401642|33010039|16000422|4248280|8278261|4762345|4014926|65467136|1275673|33062760|70430683|65453781|4626487|16060870|4409973|4031014|4020374|33028763
2022,10,1,27,2,54,7995,AL,TUSCALOOSA,35406,SWJ TECHNOLOGY,SWJ TECHNOLOGY LLC,swjtechnology,https://www.linkedin.com/company/swjtechnology,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222677755%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,SWJ TECHNOLOGY,72,2677755
2022,2,0,22,0,62,5288,AL,HUNTSVILLE,35801,THE HEALTH CARE AUTHORITY OF THE C,THE HEALTH CARE AUTHORITY OF THE C,huntsville-hospital,https://www.linkedin.com/company/huntsville-hospital,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2222615%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Huntsville Hospital,4257,22615
2022,102,1,180,2,61,5396,AL,BIRMINGHAM,35233,THE UNIV OF ALABAMA AT BIRMINGHAM,THE UNIV OF ALABAMA AT BIRMINGHAM,uab-medicine,https://www.linkedin.com/company/uab-medicine,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2213049%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,UAB Medicine,7198,13049
2022,12,0,23,1,61,1138,AL,TUSCALOOSA,35487,THE UNIVERSITY OF ALABAMA,THE UNIVERSITY OF ALABAMA,the-university-of-alabama-system,https://www.linkedin.com/company/the-university-of-alabama-system,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22264785%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,The University of Alabama System,174,264785
2022,12,0,16,2,61,830,AL,HUNTSVILLE,35899,THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,office-for-operational-excellence-at-the-university-of-alabama-in-huntsville,https://www.linkedin.com/company/office-for-operational-excellence-at-the-university-of-alabama-in-huntsville,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223885422%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Office for Operational Excellence at The …,5,3885422
2022,7,0,11,0,61,1102,AL,TROY,36082,TROY UNIV,TROY UNIV,troy-univesity-career-services,https://www.linkedin.com/company/troy-univesity-career-services,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2239635528%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,Troy University Career Services,4,39635528
2022,9,0,5,0,54,5231,AL,TUSCALOOSA,35401,TTL,TTL INC,ttl-usa,https://www.linkedin.com/company/ttl-usa,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22255522%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,"TTL, Inc.",319,255522
2022,10,0,14,0,61,7348,AL,MOBILE,36688,UNIV OF SOUTH ALABAMA,UNIV OF SOUTH ALABAMA,university-of-south-alabama-,https://www.linkedin.com/company/university-of-south-alabama-,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2210476888%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,University of South Alabama,538,10476888
2022,60,1,29,0,62,9108,AL,BIRMINGHAM,35233,UNIVERSITY OF ALABAMA HEALTH SERVI,UNIVERSITY OF ALABAMA HEALTH SERVI,university-of-alabama-health-services-foundation-p,https://www.linkedin.com/company/university-of-alabama-health-services-foundation-p,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2260418937%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,UNIVERSITY OF ALABAMA HEALTH SERVICES …,19,60418937
2022,6,0,8,0,62,6255,AL,MOBILE,36688,USA HEALTHCARE MANAGEMENT,USA HEALTHCARE MANAGEMENT LLC,usa-healthcare-management-llc,https://www.linkedin.com/company/usa-healthcare-management-llc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2257056358%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,"USA HEALTHCARE MANAGEMENT, LLC",3,57056358
2022,9,0,10,2,54,8013,AL,CLANTON,35045,VEL TRUE TECHNOLOGIES,VEL TRUE TECHNOLOGIES LLC,,,,,,
2022,7,0,41,0,33,724,AL,MOBILE,36615,VT MOBILE AEROSPACE ENGRG,VT MOBILE AEROSPACE ENGRG INC,vt-mobile-aerospace-engineering-inc%2E,https://www.linkedin.com/company/vt-mobile-aerospace-engineering-inc%2E,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2215277109%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,"VT Mobile Aerospace Engineering, Inc.",11,15277109
2022,9,0,27,0,61,147,AK,FAIRBANKS,99775,UNIV OF ALASKA FAIRBANKS,UNIV OF ALASKA FAIRBANKS,university-of-alaska,https://www.linkedin.com/company/university-of-alaska,https://www.linkedin.com/search/results/people/?currentCompany=%5B%228340%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,University of Alaska,855,8340
2022,7,0,11,1,62,6555,AZ,MESA,85205,100 CHIRO HEIM 100 CHIROPRACTIC,100 CHIRO HEIM LLC DBA 100 CHIROPRACTIC,100-chiropractic,https://www.linkedin.com/company/100-chiropractic,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221305186%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,100% Chiropractic Franchise,176,1305186
2022,1,1,10,1,54,9304,AZ,GLENDALE,85304,ACE SOFTWARE,ACE SOFTWARE LLC,ace-software-inc,https://www.linkedin.com/company/ace-software-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223151273%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,"ACE Software, LLC",9,3151273
