Fiscal Year,Employer,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,NAICS,Tax ID,State,City,ZIP,Cleaned Employer Name
2022,ARD LOGISTICS ALABAMA LLC,3,0,3,1,54,3213,AL,VANCE,35490,ARD LOGISTICS ALABAMA
2022,ARKAL AUTOMOTIVE USA INC,0,0,1,0,33,7029,AL,AUBURN,36832,ARKAL AUTOMOTIVE
2022,ARSENAL INSURANCE MANAGEMENT LLC,0,0,2,0,52,3990,AL,MONTGOMERY,36116,ARSENAL INSURANCE MANAGEMENT
2022,ATHENS INTERNAL MEDICINE & NEPHROLOGY ASSO P C,0,0,1,0,62,4879,AL,ATHENS,35611,ATHENS INTERNAL MEDICINE & NEPHROLOGY ASSO P C
2022,AUBURN UNIVERSITY,37,0,29,2,61,0724,AL,AUBURN,36849,AUBURN UNIVERSITY
2022,AUTOCAR LLC,1,0,0,0,52,9858,AL,BIRMINGHAM,35215,AUTOCAR
2022,AUTOCAR LLC,2,0,1,0,33,9858,AL,BIRMINGHAM,35215,AUTOCAR
2022,BACKSTAGE PRODUCTIONS LLC,0,0,1,0,71,7915,AL,CULLMAN,35055,BACKSTAGE PRODUCTIONS
2022,BAJAJ CONEAGLE LLC,1,0,0,0,42,6579,AL,MILLBROOK,36054,BAJAJ CONEAGLE
2022,BAPTIST HEALTH CENTERS LLC,1,0,1,0,62,5859,AL,BIRMINGHAM,35243,BAPTIST HEALTH CENTERS
2022,BBB INDUSTRIES LLC,0,0,4,0,33,7357,AL,DAPHNE,36526,BBB INDUSTRIES
2022,BBVA USA,2,0,0,0,52,6286,AL,BIRMINGHAM,35233,BBVA
2022,BHATE ENVIRONMENTAL ASSOCIATES INC,1,0,0,0,56,5702,AL,BIRMINGHAM,35205,BHATE ENVIRONMENTAL ASSOCIATES
2022,BLOX LLC,5,0,4,1,54,2553,AL,BESSEMER,35020,BLOX
2022,BLUE CROSS AND BLUE SHIELD OF ALAB,0,0,26,0,52,3830,AL,BIRMINGHAM,35244,BLUE CROSS AND BLUE SHIELD OF ALAB
2022,BOLTA US LTD,0,0,1,0,33,5583,AL,NORTHPORT,35476,BOLTA US LTD
2022,BUILDING & EARTH SCIENCES INC,1,0,2,0,54,5354,AL,BIRMINGHAM,35210,BUILDING & EARTH SCIENCES
2022,CADDELL CONSTRUCTION CO DE LLC,0,0,1,0,23,3916,AL,MONTGOMERY,36104,CADDELL CONSTRUCTION CO DE
2022,CALIZA LLC D B A THE LANDING,2,0,4,0,53,1545,AL,BIRMINGHAM,35203,CALIZA D B A THE LANDING
2022,CAPSTONE HEALTH SERVICES FOUNDATION,5,0,8,1,62,0661,AL,TUSCALOOSA,35401,CAPSTONE HEALTH SERVICES FOUNDATION
2022,CARDIOLOGY P C,4,0,2,0,62,0054,AL,BIRMINGHAM,35211,CARDIOLOGY P C
2022,CARR RIGGS & INGRAM LLC,1,0,6,0,54,6621,AL,ENTERPRISE,36330,CARR RIGGS & INGRAM
2022,CELLULOSE SOLUTIONS LLC,1,0,4,1,54,0746,AL,SPANISH FORT,36527,CELLULOSE SOLUTIONS
2022,CEMEX SOUTHEAST LLC,1,0,2,0,32,4454,AL,BIRMINGHAM,35210,CEMEX SOUTHEAST
2022,CFD RESEARCH CORPORATION,2,0,4,0,54,4385,AL,HUNTSVILLE,35806,CFD RESEARCH CORPORATION
2022,CHEROKEE FABRICATION COMPANY INC,0,0,1,0,33,2399,AL,SALEM,36874,CHEROKEE FABRICATION COMPANY
2022,CHONEX INC,1,0,0,0,11,7772,AL,BIRMINGHAM,35203,CHONEX
2022,CITW INC,7,0,3,0,54,7171,AL,BIRMINGHAM,35244,CITW
2022,CITY OF HUNTSVILLE UTILITIES,0,0,2,0,92,1297,AL,HUNTSVILLE,35801,CITY OF HUNTSVILLE UTILITIES
2022,COBBS ALLEN CAPITAL LLC,1,0,0,0,52,7726,AL,BIRMINGHAM,35223,COBBS ALLEN CAPITAL
2022,COMMENTSOLD LLC,0,0,1,0,45,8179,AL,HUNTSVILLE,35805,COMMENTSOLD
2022,COMMUNITY HOSPITAL INC,0,0,1,0,62,7680,AL,TALLASSEE,36078,COMMUNITY HOSPITAL
2022,COMPREHENSIVE ANESTHESIA SERVICES P C,1,0,0,0,62,2437,AL,HUNTSVILLE,35801,COMPREHENSIVE ANESTHESIA SERVICES P C
2022,COMPUTER PROGRAMS AND SYSTEMS INC,6,0,17,0,54,2373,AL,MOBILE,36695,COMPUTER PROGRAMS AND SYSTEMS
2022,CONTINENTAL GLOBAL MATERIAL HANDLI,1,0,1,0,33,3197,AL,WINFIELD,35594,CONTINENTAL GLOBAL MATERIAL HANDLI
2022,CUMBERLAND PLASTIC SYSTEMS,0,0,1,0,32,3851,AL,OPELIKA,36801,CUMBERLAND PLASTIC SYSTEMS
2022,DANIELI TARANIS LLC,0,0,1,0,33,5910,AL,CHELSEA,35043,DANIELI TARANIS
2022,DAXKO LLC,3,0,12,0,54,2193,AL,BIRMINGHAM,35209,DAXKO
2022,DEEPTARGET INC,2,0,0,0,54,2525,AL,HUNTSVILLE,35899,DEEPTARGET
2022,DEVANSH LAB WERKS INC,8,1,3,0,62,4194,AL,HOMEWOOD,35209,DEVANSH LAB WERKS
2022,DILIP K KAPADIA CPA PC,0,0,2,0,54,8704,AL,BIRMINGHAM,35244,DILIP K KAPADIA CPA PC
2022,DISCOVERY LIFE SCIENCES,3,0,1,0,54,5055,AL,HUNTSVILLE,35806,DISCOVERY LIFE SCIENCES
2022,DLIFLC US ARMY,4,0,4,0,62,5142,AL,TUSCALOOSA,35406,DLIFLC US ARMY
2022,EAST ALABAMA REGIONAL PLANNING AND DEVELOPMENT COMMISSION,0,0,1,0,92,7855,AL,ANNISTON,36201,EAST ALABAMA REGIONAL PLANNING AND DEVELOPMENT COMMISSION
2022,"EBZ SYSTEC, INC.",1,0,0,0,33,7361,AL,MC CALLA,35111,"EBZ SYSTEC,."
2022,ECM HEALTH GROUP LLC,4,0,3,0,62,1796,AL,FLORENCE,35630,ECM HEALTH GROUP
2022,ECM TVCC LLC,2,0,2,0,62,5825,AL,FLORENCE,35630,ECM TVCC
2022,EDGE FIRE PROTECTION INC,0,0,1,0,23,5943,AL,PELHAM,35124,EDGE FIRE PROTECTION
2022,ELECTRICFIL CORPORATION,1,0,0,0,33,1958,AL,ELKMONT,35620,ELECTRICFIL CORPORATION
2022,ENCOMPASS HEALTH CORPORATION,2,0,2,0,62,0407,AL,BIRMINGHAM,35242,ENCOMPASS HEALTH CORPORATION
2022,END2END PUBLIC SAFETY LLC,0,0,1,0,54,2123,AL,MOBILE,36603,END2END PUBLIC SAFETY
2022,ENGINEERING GROUP OF THE SOUTHEAST LLC,0,0,2,0,54,3012,AL,DOTHAN,36301,ENGINEERING GROUP OF THE SOUTHEAST
2022,EZCLAIM SOFTWARE LLC,0,0,1,0,51,1095,AL,AUBURN,36832,EZCLAIM SOFTWARE
2022,FAULKNER UNIV,2,0,1,0,61,9409,AL,MONTGOMERY,36109,FAULKNER UNIV
2022,FEDEX CORPORATE SERVICES INC,56,0,320,3,49,8017,AL,CLIO,36017,FEDEX CORPORATE SERVICES
2022,FERANA LLC D B A ODENVILLE SHELL,1,0,0,0,44,1226,AL,ODENVILL,35210,FERANA D B A ODENVILLE SHELL
2022,FIFTH DIMENSION ARCHITECHTURE AND INTERIORS LLC,1,0,4,0,54,0356,AL,BIRMINGHAM,35233,FIFTH DIMENSION ARCHITECHTURE AND INTERIORS
2022,GADSDEN REGIONAL PHYSICIAN GROUP PRACTICE,1,0,1,0,62,6828,AL,GADSDEN,35903,GADSDEN REGIONAL PHYSICIAN GROUP PRACTICE
2022,GD COPPER U S A INC,4,0,5,0,33,9687,AL,PINE HILL,36769,GD COPPER U S A
2022,GESTAMP ALABAMA LLC,0,0,2,0,33,6607,AL,MC CALLA,35111,GESTAMP ALABAMA
2022,GFA ALABAMA INC,1,0,0,0,49,2324,AL,VALLEY,36854,GFA ALABAMA
2022,GIATTINA AYCOCK ARCHITECTURE STUDIO INC,12,0,45,0,54,3327,AL,BESSEMER,35020,GIATTINA AYCOCK ARCHITECTURE STUDIO
2022,GOODWYN MILLS & CAWOOD INC,22,0,31,1,54,6620,AL,MOBILE,36602,GOODWYN MILLS & CAWOOD
2022,GPS IT SOLUTIONS LLC,3,0,17,0,54,8821,AL,TUSCALOOSA,35404,GPS IT SOLUTIONS
2022,GULF STATES ENGINEERING INC,19,0,63,0,54,8451,AL,MOBILE,36609,GULF STATES ENGINEERING
2022,GURU GROUP LLC,17,0,16,1,54,0228,AL,DOTHAN,36305,GURU GROUP
2022,HANA FACTORY AUTOMATION CORPORATIO,2,0,6,0,54,7711,AL,OPELIKA,36801,HANA FACTORY AUTOMATION CORPORATIO
2022,HANON SYSTEMS ALABAMA CORPORATION,0,0,1,0,33,9188,AL,SHORTER,36075,HANON SYSTEMS ALABAMA CORPORATION
2022,HANWHA ADVANCED MATERIALS AMERICA LLC,1,0,0,0,99,9231,AL,OPELIKA,36801,HANWHA ADVANCED MATERIALS AMERICA
2022,HARGROVE & ASSOCIATES INC DBA HARG,3,0,9,0,54,2530,AL,MOBILE,36602,HARGROVE & ASSOCIATES HARG
2022,HEALTH AUTHORITY OF THE CITY OF GREENVILLE DBA REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,4,0,0,0,62,5000,AL,GREENVILLE,36037,HEALTH AUTHORITY OF THE CITY OF GREENVILLE REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA
2022,HEALTHCARE AUTHORITY OF CULLMAN COUNTY,1,0,0,0,62,8174,AL,CULLMAN,35056,HEALTHCARE AUTHORITY OF CULLMAN COUNTY
2022,HEART HEALTH CENTER P C,1,0,1,0,62,9298,AL,FLORENCE,35630,HEART HEALTH CENTER P C
2022,HH HEALTH SYSTEMS SHOALS LLC DBA HELEN KELLER HOSPITAL,0,0,1,0,62,3163,AL,SHEFFIELD,35660,HH HEALTH SYSTEMS SHOALS HELEN KELLER HOSPITAL
2022,HH HEART CTR LLC,0,0,2,0,62,1996,AL,HUNTSVILLE,35801,HH HEART CTR
2022,HIBBETT RETAIL INC,0,0,1,0,45,4067,AL,BIRMINGHAM,35211,HIBBETT RETAIL
2022,HIGHLANDS UNITED METHODIST CHURCH,0,0,1,0,81,8840,AL,BIRMINGHAM,35205,HIGHLANDS UNITED METHODIST CHURCH
2022,HOAR PROGRAM MANAGEMENT LLC,1,0,1,0,23,3400,AL,BIRMINGHAM,35209,HOAR PROGRAM MANAGEMENT
2022,HODGES BONDED WAREHOUSE INC,1,0,0,0,48,3250,AL,MONTGOMERY,36104,HODGES BONDED WAREHOUSE
2022,HOPE ANIMAL CLINIC PC,4,1,1,1,54,6021,AL,BESSEMER,35022,HOPE ANIMAL CLINIC PC
2022,HOUSTON CO HEALTHCARE AUTHORITY D/,2,0,6,0,62,4476,AL,DOTHAN,36301,HOUSTON CO HEALTHCARE AUTHORITY D/
2022,HUDSONALPHA INSTITUTE FOR BIOTECHNOLOGY,3,0,2,0,54,9317,AL,HUNTSVILLE,35806,HUDSONALPHA INSTITUTE FOR BIOTECHNOLOGY
2022,HUNTSVILLE RENAL CLINIC P C,4,0,12,0,62,0194,AL,HUNTSVILLE,35801,HUNTSVILLE RENAL CLINIC P C
2022,HYOSUNG USA INC,0,0,3,0,31,8280,AL,DECATUR,35601,HYOSUNG
2022,HYUNDAI MOTOR MANUFACTURING ALABAMA LLC,2,0,0,0,33,6698,AL,MONTGOMERY,36105,HYUNDAI MOTOR MANUFACTURING ALABAMA
2022,HYUNDAI POWER TRANSFORMERS USA INC,0,0,6,0,33,0902,AL,MONTGOMERY,36105,HYUNDAI POWER TRANSFORMERS
2022,IMC DIAGNOSTIC AND MEDICAL CLINIC LLC,0,0,5,0,62,2832,AL,MOBILE,36601,IMC DIAGNOSTIC AND MEDICAL CLINIC
2022,IMC HOSPITALISTS LLC,0,0,1,0,62,8598,AL,MOBILE,36607,IMC HOSPITALISTS
2022,INCO GROUP LLC,0,0,1,0,23,6604,AL,MONTGOMERY,36116,INCO GROUP
2022,INFINITY INSURANCE COMPANY DBA KEMPER AUTO,5,0,8,0,52,3862,AL,BIRMINGHAM,35203,INFINITY INSURANCE COMPANY KEMPER AUTO
2022,INFODRIVE SYSTEMS INC,4,1,35,1,54,1918,AL,TUSCALOOSA,35404,INFODRIVE SYSTEMS
2022,INTEGRATED BEHAVIORAL HEALTH,6,0,7,0,62,6113,AL,MADISON,35758,INTEGRATED BEHAVIORAL HEALTH
2022,INTERGRAPH CORPORATION,4,0,19,0,54,3222,AL,MADISON,35758,INTERGRAPH CORPORATION
2022,INTERMARK GROUP INC,1,1,1,0,54,1351,AL,BIRMINGHAM,35203,INTERMARK GROUP
2022,INTRAMICRON INC,1,0,3,0,54,4248,AL,AUBURN,36832,INTRAMICRON
2022,IREPERTOIRE INC,7,0,9,1,54,6096,AL,HUNTSVILLE,35806,IREPERTOIRE
2022,JACKSON HOSPITAL & CLINIC INC,2,0,1,0,62,1820,AL,MONTGOMERY,36106,JACKSON HOSPITAL & CLINIC
2022,JACKSONVILLE STATE UNIV,42,0,61,1,61,1099,AL,JACKSONVILLE,36265,JACKSONVILLE STATE UNIV
2022,JB PROCESSING LLC DBA ALABAMA MARBLE MINERAL AND MINING CO,1,0,0,0,32,8712,AL,BESSEMER,35020,JB PROCESSING ALABAMA MARBLE MINERAL AND MINING CO
2022,JOB CREATION LLC,1,0,1,0,56,2933,AL,MONTGOMERY,36105,JOB CREATION
2022,JOHNSON OUTDOORS MARINE ELECTRONIC,0,0,1,0,33,6601,AL,EUFAULA,36027,JOHNSON OUTDOORS MARINE ELECTRONIC
2022,K W PLASTICS RECYCLING,0,0,1,0,32,4058,AL,TROY,36079,K W PLASTICS RECYCLING
2022,KAMTEK INC,1,0,2,0,33,9459,AL,BIRMINGHAM,35215,KAMTEK
2022,KC SOL TECH INC,1,0,2,0,54,2718,AL,AUBURN,36832,KC SOL TECH
2022,KEMP MANAGEMENT SOLUTIONS LLC,6,0,3,0,54,7098,AL,BIRMINGHAM,35233,KEMP MANAGEMENT SOLUTIONS
2022,KRONOSPAN LLC,1,0,0,1,32,7964,AL,EASTABOGA,36260,KRONOSPAN
2022,LAURENCE AND ASSOCIATES LLC,5,2,13,0,54,1179,AL,MOBILE,36604,LAURENCE AND ASSOCIATES
2022,LEEHAN AMERICA INC,1,0,0,0,33,1278,AL,CUSSETA,36852,LEEHAN AMERICA
2022,LEGACY VULCAN LLC SUBSIDIARY OF VU,0,0,4,0,21,6371,AL,BIRMINGHAM,35242,LEGACY VULCAN SUBSIDIARY OF VU
2022,LOTTE CHEMICAL ALABAMA CORP,1,0,0,0,32,9141,AL,AUBURN,36832,LOTTE CHEMICAL ALABAMA CORP
2022,MANDO AMERICA CORPORATION,5,0,31,1,33,4493,AL,OPELIKA,36801,MANDO AMERICA CORPORATION
2022,MATTAPALLY TECHNOLOGIES INC,0,0,0,1,61,4154,AL,BIRMINGHAM,35259,MATTAPALLY TECHNOLOGIES
2022,"MCBI ONE, LLC",4,0,0,0,54,2355,AL,MONTGOMERY,36106,"MCBI ONE,"
2022,MEDICAL COLLEGE OF WISCONSIN INC,29,1,40,1,61,6261,AL,BIRMINGHAM,35226,MEDICAL COLLEGE OF WISCONSIN
2022,MID-AMERICA ENGINE INC,0,0,1,0,22,6403,AL,WARRIOR,35180,MID-AMERICA ENGINE
2022,MILES COLLEGE,0,0,2,0,61,0608,AL,FAIRFIELD,35064,MILES COLLEGE
2022,MITTERNIGHT BOILER WORKS INC,0,0,5,0,33,2523,AL,SATSUMA,36572,MITTERNIGHT BOILER WORKS
2022,MJ SYSTEM LLC,1,0,0,0,54,5677,AL,LANETT,36863,MJ SYSTEM
2022,MOBILE LLC DBA MOBILE MARRIOTT,1,0,0,0,72,5322,AL,MOBILE,36606,MOBILE MOBILE MARRIOTT
2022,MOBIS US ALABAMA LLC,1,0,0,0,33,8213,AL,MC CALLA,35111,MOBIS US ALABAMA
2022,MOLECULAR DESIGNS LLC,9,1,14,0,54,8456,AL,BIRMINGHAM,35243,MOLECULAR DESIGNS
2022,MONTGOMERY BAPTIST OUTREACH SVCS CORP,0,0,1,0,62,3275,AL,MONTGOMERY,36117,MONTGOMERY BAPTIST OUTREACH SVCS CORP
2022,MONTGOMERY KIDNEY SPECIALIST LLP,0,0,1,0,62,5525,AL,MONTGOMERY,36106,MONTGOMERY KIDNEY SPECIALIST LLP
2022,MOTION INDUSTRIES INC,0,0,4,0,42,1578,AL,BIRMINGHAM,35210,MOTION INDUSTRIES
2022,MY SUPPLY CHAIN GROUP LLC,3,0,14,1,54,9106,AL,BIRMINGHAM,35242,MY SUPPLY CHAIN GROUP
2022,NALARA QUALITY SYSTEM LLC,10,0,10,0,54,1614,AL,OPELIKA,36804,NALARA QUALITY SYSTEM
2022,NATIONAL CHILDREN S ADVOCACY CENTER,1,0,0,0,62,1512,AL,HUNTSVILLE,35801,NATIONAL CHILDREN S ADVOCACY CENTER
2022,NCP SOLUTIONS LLC,0,0,1,0,32,5620,AL,BIRMINGHAM,35217,NCP SOLUTIONS
2022,NEPHROLOGY ASSO MOBILE PA,0,0,1,0,62,0569,AL,MOBILE,36608,NEPHROLOGY ASSO MOBILE PA
2022,NEPTUNE TECHNOLOGY GROUP INC,0,0,1,0,33,2672,AL,TALLASSEE,36078,NEPTUNE TECHNOLOGY GROUP
2022,NORTH ALABAMA FABRICATING COMPANY INC DBA WOLF POINT ENGINEERS,1,0,1,0,33,7713,AL,BIRMINGHAM,35216,NORTH ALABAMA FABRICATING COMPANY WOLF POINT ENGINEERS
2022,NUCOR STEEL DECATUR LLC,0,0,1,0,33,6319,AL,TRINITY,35673,NUCOR STEEL DECATUR
2022,O FLEX METAL FINISHING INC,0,0,1,0,33,3206,AL,CLANTON,35046,O FLEX METAL FINISHING
2022,OAKWOOD UNIVERSITY INC,2,0,3,1,61,6652,AL,HUNTSVILLE,35896,OAKWOOD UNIVERSITY
2022,ORAL RECONSTRUCTION FOUNDATION,2,1,2,0,54,7258,AL,BIRMINGHAM,35244,ORAL RECONSTRUCTION FOUNDATION
2022,ORGANOGENESIS INC,1,0,0,0,42,1690,AL,BIRMINGHAM,35216,ORGANOGENESIS
2022,OSHIN AUTOMATION AND ROBOTICS LLC,122,4,502,19,54,2883,AL,TUSCALOOSA,35405,OSHIN AUTOMATION AND ROBOTICS
2022,PERFORMANCE ARCHITECTURAL INC,1,0,0,0,33,0685,AL,BIRMINGHAM,35212,PERFORMANCE ARCHITECTURAL
2022,PERFORMANCE DRONE WORKS LLC,0,0,5,0,33,5412,AL,HUNTSVILLE,35805,PERFORMANCE DRONE WORKS
2022,PHIFER INCORPORATED,0,0,1,0,31,1784,AL,TUSCALOOSA,35403,PHIFERORPORATED
2022,PHP FIBERS INC,0,0,1,0,31,1005,AL,SCOTTSBORO,35769,PHP FIBERS
2022,PINNACLE ENTERPRISES PC,1,0,0,0,62,4394,AL,PHENIX CITY,36867,PINNACLE ENTERPRISES PC
2022,PLEXAMEDIA INC,4,0,4,0,54,7070,AL,GADSDEN,35901,PLEXAMEDIA
2022,POLY PHARMACEUTICALS INC,1,0,0,0,42,7145,AL,OWENS CROSS ROADS,35763,POLY PHARMACEUTICALS
2022,PRICEWATERHOUSECOOPERS LLP,96,1,590,6,54,8324,AL,MOBILE,36607,PRICEWATERHOUSECOOPERS LLP
2022,PRIME HEALTHCARE SERVICES GADSDEN,7,0,3,0,62,8529,AL,RAINBOW CITY,35906,PRIME HEALTHCARE SERVICES GADSDEN
2022,PRO RESOURCE MGMT OF WIREGRASS LLC,0,1,0,0,62,3369,AL,DOTHAN,36305,PRO RESOURCE MGMT OF WIREGRASS
2022,PROGRESS RAIL SERVICES CORPORATION,1,0,1,0,33,0308,AL,ALBERTVILLE,35950,PROGRESS RAIL SERVICES CORPORATION
2022,PROJEXIV ENVIRONMENTAL LLC,11,0,42,1,54,8325,AL,MOBILE,36695,PROJEXIV ENVIRONMENTAL
2022,PROTECTIVE LIFE CORPORATION,0,0,1,0,52,2236,AL,BIRMINGHAM,35223,PROTECTIVE LIFE CORPORATION
2022,PROTECTIVE LIFE INSURANCE COMPANY,1,0,3,0,52,9720,AL,BIRMINGHAM,35223,PROTECTIVE LIFE INSURANCE COMPANY
2022,RAM TOOL SUPPLY CO LLC D B A RAM TOOL CONSTRUCTION SUPPLY CO,0,0,2,0,42,7380,AL,BIRMINGHAM,35222,RAM TOOL SUPPLY CO D B A RAM TOOL CONSTRUCTION SUPPLY CO
2022,RARESTEP INC,0,0,1,0,51,8164,AL,BIRMINGHAM,35203,RARESTEP
2022,RCHP FLORENCE LLC,1,0,0,0,62,1336,AL,FLORENCE,35630,RCHP FLORENCE
2022,REGIONAL PLANNING COMMISSION OF GREATER BIRMINGHAM,1,0,0,0,92,2016,AL,BIRMINGHAM,35203,REGIONAL PLANNING COMMISSION OF GREATER BIRMINGHAM
2022,REGIONS BANK,8,0,24,0,52,1391,AL,BIRMINGHAM,35203,REGIONS BANK
2022,REHAB EMPLOYEE SERVICES LLC,0,0,5,0,62,9748,AL,BIRMINGHAM,35242,REHAB EMPLOYEE SERVICES
2022,RENOVATION BRANDS LLC,2,0,0,0,44,9706,AL,FLORENCE,35630,RENOVATION BRANDS
2022,RIZ LLC DBA R&S WHOLESALE,1,0,1,0,42,4788,AL,BIRMINGHAM,35244,RIZ R&S WHOLESALE
2022,ROOTS MULTI CLEAN INC DBA VICTORY,1,0,1,0,33,6074,AL,HUNTSVILLE,35803,ROOTS MULTI CLEAN VICTORY
2022,RUSSELL MEDICAL CENTER,15,0,16,0,62,,AL,ALEXANDER CITY,35010,RUSSELL MEDICAL CENTER
2022,RX BENEFITS INC,3,0,7,0,52,7085,AL,BIRMINGHAM,35243,RX BENEFITS
2022,SAFECO INC DBA SAFETY PLUS INC,2,0,8,0,54,0853,AL,MOBILE,36608,SAFECO SAFETY PLUS
2022,SAI WHOLESALE LLC,1,0,0,0,42,2112,AL,MOBILE,36609,SAI WHOLESALE
2022,SAMFORD UNIVERSITY,0,0,1,0,61,2914,AL,BIRMINGHAM,35229,SAMFORD UNIVERSITY
2022,SEAY SEAY AND LITCHFIELD PC,13,0,25,0,54,2045,AL,MONTGOMERY,36104,SEAY SEAY AND LITCHFIELD PC
2022,SERVICENOW INC,94,2,573,5,54,6195,AL,CROPWELL,35054,SERVICENOW
2022,SHIPT INC,16,0,57,0,51,2743,AL,BIRMINGHAM,35203,SHIPT
2022,SIO2 MEDICAL PRODUCTS INC,1,0,4,0,33,8647,AL,AUBURN,36832,SIO2 MEDICAL PRODUCTS
2022,SMP AUTOMOTIVE SYSTEMS ALABAMA INC,1,0,1,0,33,5173,AL,COTTONDALE,35453,SMP AUTOMOTIVE SYSTEMS ALABAMA
2022,SODECIA AUTOMOTIVE AUBURN INC,3,0,0,0,33,3918,AL,AUBURN,36832,SODECIA AUTOMOTIVE AUBURN
2022,SOOTHING SCENTS INC,3,0,3,0,33,4670,AL,NEWTON,36352,SOOTHING SCENTS
2022,SOUTHEASTERN CARDIOLOGY CONSULTANTS PC,0,0,1,0,62,8599,AL,MONTGOMERY,36116,SOUTHEASTERN CARDIOLOGY CONSULTANTS PC
2022,SOUTHERN COMMUNICATIONS SERVICES INC D B A SOUTHERN LINC,0,0,4,0,51,7864,AL,BIRMINGHAM,35203,SOUTHERN COMMUNICATIONS SERVICES D B A SOUTHERN LINC
2022,SOUTHERN RESEARCH INSTITUTE,0,0,6,0,54,8868,AL,BIRMINGHAM,35205,SOUTHERN RESEARCH INSTITUTE
2022,SOUTHERN VETERINARIAN PARTNERS,20,1,26,0,54,0951,AL,BIRMINGHAM,35209,SOUTHERN VETERINARIAN PARTNERS
2022,STARBELT LLC,1,0,0,0,51,6188,AL,HUNTSVILLE,35810,STARBELT
2022,SUNSHINE MILLS INC,0,0,1,0,31,5685,AL,RED BAY,35582,SUNSHINE MILLS
2022,SWJ TECHNOLOGY LLC,10,1,27,2,54,7995,AL,TUSCALOOSA,35406,SWJ TECHNOLOGY
