Fiscal Year,Employer,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,NAICS,Tax ID,State,City,ZIP,Cleaned Employer Name,LinkedIn ID
2022,LAURENCE AND ASSOCIATES LLC,5,2,13,0,54,1179,AL,MOBILE,36604,LAURENCE AND ASSOCIATES,
2022,MANDO AMERICA CORPORATION,5,0,31,1,33,4493,AL,OPELIKA,36801,MANDO AMERICA CORPORATION,
2022,MEDICAL COLLEGE OF WISCONSIN INC,29,1,40,1,61,6261,AL,BIRMINGHAM,35226,MEDICAL COLLEGE OF WISCONSIN,
2022,MITTERNIGHT BOILER WORKS INC,0,0,5,0,33,2523,AL,SATSUMA,36572,MITTERNIGHT BOILER WORKS,
2022,MOLECULAR DESIGNS LLC,9,1,14,0,54,8456,AL,BIRMINGHAM,35243,MOLECULAR DESIGNS,
2022,MY SUPPLY CHAIN GROUP LLC,3,0,14,1,54,9106,AL,BIRMINGHAM,35242,MY SUPPLY CHAIN GROUP,
2022,NALARA QUALITY SYSTEM LLC,10,0,10,0,54,1614,AL,OPELIKA,36804,NALARA QUALITY SYSTEM,
2022,OSHIN AUTOMATION AND ROBOTICS LLC,122,4,502,19,54,2883,AL,TUSCALOOSA,35405,OSHIN AUTOMATION AND ROBOTICS,
2022,PERFORMANCE DRONE WORKS LLC,0,0,5,0,33,5412,AL,HUNTSVILLE,35805,PERFORMANCE DRONE WORKS,
2022,PRICEWATERHOUSECOOPERS LLP,96,1,590,6,54,8324,AL,MOBILE,36607,PRICEWATERHOUSECOOPERS LLP,
2022,PROJEXIV ENVIRONMENTAL LLC,11,0,42,1,54,8325,AL,MOBILE,36695,PROJEXIV ENVIRONMENTAL,
2022,REGIONS BANK,8,0,24,0,52,1391,AL,BIRMINGHAM,35203,REGIONS BANK,
2022,REHAB EMPLOYEE SERVICES LLC,0,0,5,0,62,9748,AL,BIRMINGHAM,35242,REHAB EMPLOYEE SERVICES,
2022,RUSSELL MEDICAL CENTER,15,0,16,0,62,,AL,ALEXANDER CITY,35010,RUSSELL MEDICAL CENTER,
2022,RX BENEFITS INC,3,0,7,0,52,7085,AL,BIRMINGHAM,35243,RX BENEFITS,
2022,SAFECO INC DBA SAFETY PLUS INC,2,0,8,0,54,853,AL,MOBILE,36608,SAFECO SAFETY PLUS,
2022,SEAY SEAY AND LITCHFIELD PC,13,0,25,0,54,2045,AL,MONTGOMERY,36104,SEAY SEAY AND LITCHFIELD PC,
2022,SERVICENOW INC,94,2,573,5,54,6195,AL,CROPWELL,35054,SERVICENOW,
2022,SHIPT INC,16,0,57,0,51,2743,AL,BIRMINGHAM,35203,SHIPT,
2022,SOUTHERN RESEARCH INSTITUTE,0,0,6,0,54,8868,AL,BIRMINGHAM,35205,SOUTHERN RESEARCH INSTITUTE,
2022,SOUTHERN VETERINARIAN PARTNERS,20,1,26,0,54,951,AL,BIRMINGHAM,35209,SOUTHERN VETERINARIAN PARTNERS,
2022,SWJ TECHNOLOGY LLC,10,1,27,2,54,7995,AL,TUSCALOOSA,35406,SWJ TECHNOLOGY,
2022,THE HEALTH CARE AUTHORITY OF THE C,2,0,22,0,62,5288,AL,HUNTSVILLE,35801,THE HEALTH CARE AUTHORITY OF THE C,
2022,THE UNIV OF ALABAMA AT BIRMINGHAM,102,1,180,2,61,5396,AL,BIRMINGHAM,35233,THE UNIV OF ALABAMA AT BIRMINGHAM,
2022,THE UNIVERSITY OF ALABAMA,12,0,23,1,61,1138,AL,TUSCALOOSA,35487,THE UNIVERSITY OF ALABAMA,
2022,THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,12,0,16,2,61,830,AL,HUNTSVILLE,35899,THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,
2022,TROY UNIV,7,0,11,0,61,1102,AL,TROY,36082,TROY UNIV,
2022,TTL INC,9,0,5,0,54,5231,AL,TUSCALOOSA,35401,TTL,
2022,UNIV OF SOUTH ALABAMA,10,0,14,0,61,7348,AL,MOBILE,36688,UNIV OF SOUTH ALABAMA,
2022,UNIVERSITY OF ALABAMA HEALTH SERVI,60,1,29,0,62,9108,AL,BIRMINGHAM,35233,UNIVERSITY OF ALABAMA HEALTH SERVI,
2022,USA HEALTHCARE MANAGEMENT LLC,6,0,8,0,62,6255,AL,MOBILE,36688,USA HEALTHCARE MANAGEMENT,
2022,VEL TRUE TECHNOLOGIES LLC,9,0,10,2,54,8013,AL,CLANTON,35045,VEL TRUE TECHNOLOGIES,
2022,VT MOBILE AEROSPACE ENGRG INC,7,0,41,0,33,724,AL,MOBILE,36615,VT MOBILE AEROSPACE ENGRG,
2022,UNIV OF ALASKA FAIRBANKS,9,0,27,0,61,147,AK,FAIRBANKS,99775,UNIV OF ALASKA FAIRBANKS,
2022,100 CHIRO HEIM LLC DBA 100 CHIROPRACTIC,7,0,11,1,62,6555,AZ,MESA,85205,100 CHIRO HEIM 100 CHIROPRACTIC,
2022,ACE SOFTWARE LLC,1,1,10,1,54,9304,AZ,GLENDALE,85304,ACE SOFTWARE,
2022,ADEMCO INC,7,0,18,0,54,1425,AZ,SCOTTSDALE,85254,ADEMCO,
2022,ADVANCED MICRO DEVICES INC,100,2,538,4,33,2300,AZ,PHOENIX,85054,ADVANCED MICRO DEVICES,
2022,AERIAL SPHERE LLC,4,0,13,0,54,9894,AZ,PHOENIX,85034,AERIAL SPHERE,
2022,AJO UNIFIED SCHOOL DIST 15,15,0,7,2,61,546,AZ,AJO,85321,AJO UNIFIED SCHOOL DIST 15,
2022,ALICAT SCIENTIFIC INC,2,0,11,0,33,5584,AZ,TUCSON,85743,ALICAT SCIENTIFIC,
2022,ALIGN TECHNOLOGY INC,12,0,49,0,33,7295,AZ,TEMPE,85281,ALIGN TECHNOLOGY,
2022,AMAZON VALLEY ENGINEERING LLC,4,1,5,0,54,5643,AZ,PHOENIX,85009,AMAZON VALLEY ENGINEERING,
2022,AMKOR TECHNOLOGY INC,2,0,5,0,33,2724,AZ,TEMPE,85284,AMKOR TECHNOLOGY,
2022,ANALYTIC ERA LLC,15,0,7,0,54,2860,AZ,MESA,85202,ANALYTIC ERA,
2022,ANJU SOFTWARE INC,2,0,18,0,54,454,AZ,TEMPE,85282,ANJU SOFTWARE,
2022,APL LOGISTICS AMERICAS LTD,1,0,9,0,54,7941,AZ,SCOTTSDALE,85255,APL LOGISTICS AMERICAS LTD,
2022,APPLE INC,1033,11,4295,51,33,4110,AZ,PHOENIX,85014,APPLE,
2022,APPSFREEDOM INC D/B/A PILLIR,49,1,137,0,54,3710,AZ,CHANDLER,85226,APPSFREEDOM D/B/A PILLIR,
2022,ARCORO HOLDING GROUP D B A ARCORO,7,0,16,1,54,2589,AZ,SCOTTSDALE,85260,ARCORO HOLDING GROUP D B A ARCORO,
2022,AREVON ENERGY INC,11,1,31,1,54,8418,AZ,SCOTTSDALE,85258,AREVON ENERGY,
2022,ARIZONA PUBLIC SERVICE COMPANY APSC APS,1,0,5,0,22,1170,AZ,PHOENIX,85004,ARIZONA PUBLIC SERVICE COMPANY APSC APS,
2022,ARIZONA STATE UNIVERSITY,69,0,73,4,61,6696,AZ,TEMPE,85287,ARIZONA STATE UNIVERSITY,
2022,ARTHA DATA SOLUTIONS LLC,6,0,7,0,54,7288,AZ,SCOTTSDALE,85260,ARTHA DATA SOLUTIONS,
2022,ASM AMERICA INC,23,0,25,2,33,7468,AZ,PHOENIX,85034,ASM AMERICA,
2022,ASML US LLC,25,0,55,1,33,8140,AZ,CHANDLER,85224,ASML US,
2022,ASML US LLP,50,0,165,5,33,621,AZ,CHANDLER,85224,ASML US LLP,
2022,ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY AURA,7,0,9,0,54,8043,AZ,TUCSON,85719,ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY AURA,
2022,ATLIS MOTOR VEHICLES LLC,3,0,5,0,33,534,AZ,MESA,85205,ATLIS MOTOR VEHICLES,
2022,AUER PRECISION STAMPING CO,1,0,12,0,33,5679,AZ,MESA,85210,AUER PRECISION STAMPING CO,
2022,AURA SPACE TELESCOPE SCIENCE INSTI,7,0,5,0,92,8043,AZ,TUCSON,85719,AURA SPACE TELESCOPE SCIENCE INSTI,
2022,AVIKSOFT LLC,17,1,39,1,54,7016,AZ,MESA,85204,AVIKSOFT,
2022,AVNET INC,2,0,7,0,54,605,AZ,PHOENIX,85034,AVNET,
2022,AXON ENTERPRISE INC,11,0,40,0,33,1227,AZ,SCOTTSDALE,85255,AXON ENTERPRISE,
2022,AXWAY INC,0,0,22,0,51,4866,AZ,SCOTTSDALE,85254,AXWAY,
2022,"AZ SPECIALTY DENTAL SERVICES, LLC",8,0,18,2,62,7838,AZ,PHOENIX,85013,"AZ SPECIALTY DENTAL SERVICES,",
2022,BANNER HEALTH,13,0,5,0,62,3470,AZ,PHOENIX,85012,BANNER HEALTH,
2022,BANNER MEDICAL GROUP,6,0,23,2,62,2830,AZ,PHOENIX,85012,BANNER MEDICAL GROUP,
2022,BANNER UNIVERSITY MEDICAL GROUP,12,0,12,0,62,8258,AZ,PHOENIX,85012,BANNER UNIVERSITY MEDICAL GROUP,
2022,BASELINE MGR LLC,1,0,6,0,52,2507,AZ,MESA,85204,BASELINE MGR,
2022,BEST WESTERN INTERNATIONAL INC,0,0,24,0,72,8899,AZ,PHOENIX,85016,BEST WESTERN INTERNATIONAL,
2022,BESTKEY SOLUTIONS INC,5,0,17,1,54,6539,AZ,PHOENIX,85023,BESTKEY SOLUTIONS,
2022,BIO HUMA NETICS INC,4,0,23,2,32,7127,AZ,GILBERT,85233,BIO HUMA NETICS,
2022,BLUE SPIRE INC,12,0,8,0,54,7949,AZ,PHOENIX,85028,BLUE SPIRE,
2022,BLUE YONDER INC,32,0,84,2,54,3401,AZ,SCOTTSDALE,85254,BLUE YONDER,
2022,BNB TECH SOURCE INC,2,1,10,0,54,7932,AZ,CHANDLER,85226,BNB TECH SOURCE,
2022,CAROLLO ENGINEERS INC,6,0,8,0,54,9222,AZ,PHOENIX,85034,CAROLLO ENGINEERS,
2022,CARVANA LLC,11,1,77,0,44,8036,AZ,TEMPE,85281,CARVANA,
2022,CASCADE FINANCIAL SERVICES,0,0,8,0,52,1476,AZ,CHANDLER,85286,CASCADE FINANCIAL SERVICES,
2022,CAVE CREEK UNIFIES SCHOOL DISTRICT NO 93,2,0,5,0,61,523,AZ,CAVE CREEK,85327,CAVE CREEK UNIFIES SCHOOL DISTRICT NO 93,
2022,CHARLES SCHWAB & COMPANY INC,30,2,604,0,52,7782,AZ,PHOENIX,85016,CHARLES SCHWAB & COMPANY,
2022,CHOICE HOTELS INTERNATIONAL SERVICES CORP,2,0,89,3,72,8781,AZ,PHOENIX,85054,CHOICE HOTELS INTERNATIONAL SERVICES CORP,
2022,CIRCLE K STORES INC,11,1,5,0,44,9540,AZ,TEMPE,85284,CIRCLE K STORES,
2022,CLAIRVOYANT AI INC,8,0,9,0,54,5364,AZ,CHANDLER,85226,CLAIRVOYANT AI,
2022,CLARIVATE ANALYTICS US LLC,0,0,15,1,51,9117,AZ,CHANDLER,85226,CLARIVATE ANALYTICS US,
2022,CODEMOXIE SOLUTIONS LLC,19,0,10,0,54,3210,AZ,GLENDALE,85302,CODEMOXIE SOLUTIONS,
2022,COMMUNITY CARE HEALTH NETWORK INC,0,0,10,0,56,9981,AZ,SCOTTSDALE,85258,COMMUNITY CARE HEALTH NETWORK,
2022,COUNTY OF SANTA CRUZ NOGALES UNIFI,5,0,24,0,61,1890,AZ,NOGALES,85621,COUNTY OF SANTA CRUZ NOGALES UNIFI,
2022,CRAFTSMAN PLUS INC,8,0,16,0,54,6701,AZ,SCOTTSDALE,85257,CRAFTSMAN PLUS,
2022,CRITICAL PATH INSTITUTE,4,0,9,0,54,1334,AZ,TUCSON,85718,CRITICAL PATH INSTITUTE,
2022,DARWIN ADVISORY PARTNERS LLC,4,0,45,0,54,1316,AZ,SCOTTSDALE,85258,DARWIN ADVISORY PARTNERS,
2022,DEER VALLEY UNIFIED SCHOOL DISTRIC,7,0,9,0,61,4178,AZ,PHOENIX,85027,DEER VALLEY UNIFIED SCHOOL DISTRIC,
2022,DELTA LEASING INC DBS QUANTUM HELI,38,1,31,3,61,1846,AZ,CHANDLER,85286,DELTA LEASING DBS QUANTUM HELI,
2022,DIBBLE & ASSO CONSULTING ENGINEERS,20,4,23,0,54,445,AZ,PHOENIX,85020,DIBBLE & ASSO CONSULTING ENGINEERS,
2022,DIGITAL INSIGHTS LLC,7,2,6,1,54,4701,AZ,PHOENIX,85020,DIGITAL INSIGHTS,
2022,DIGNITY HEALTH,16,0,20,1,62,6203,AZ,PHOENIX,85013,DIGNITY HEALTH,
2022,DISTRICT MEDICAL GROUP INC,4,0,10,0,62,6540,AZ,PHOENIX,85016,DISTRICT MEDICAL GROUP,
2022,DRIVETIME SALES & FINANCE LLC,0,1,5,0,52,7074,AZ,TEMPE,85281,DRIVETIME SALES & FINANCE,
2022,DWL ARCHITECTS PLANNERS INC,2,0,18,0,54,3489,AZ,PHOENIX,85004,DWL ARCHITECTS PLANNERS,
2022,DYTEK SOLUTIONS LLC,5,0,9,0,54,8080,AZ,PHOENIX,85028,DYTEK SOLUTIONS,
2022,EARLY WARNING SERVICES LLC,5,0,62,2,51,6211,AZ,SCOTTSDALE,85260,EARLY WARNING SERVICES,
2022,EAST VALLEY DIABETES & ENDOCRINOLOGY PLC,50,1,47,0,62,3026,AZ,GILBERT,85297,EAST VALLEY DIABETES & ENDOCRINOLOGY PLC,
2022,EDWISE GROUP LLC,2,0,5,1,54,3300,AZ,MESA,85212,EDWISE GROUP,
2022,ELECTRAMECCANICA USA LLC,0,0,7,0,33,7954,AZ,MESA,85212,ELECTRAMECCANICA,
2022,ELECTRICX QA QC PARTNER INC,1,0,6,0,54,2559,AZ,PHOENIX,85032,ELECTRICX QA QC PARTNER,
2022,ENGHOUSE INTERACTIVE INC,1,0,9,0,51,6871,AZ,PHOENIX,85053,ENGHOUSE INTERACTIVE,
2022,ENGINEERING WIRELESS SVCS LLC,1,0,5,0,54,6245,AZ,TEMPE,85281,ENGINEERING WIRELESS SVCS,
2022,EQUITY METHODS LLC,7,0,6,2,54,3146,AZ,SCOTTSDALE,85255,EQUITY METHODS,
2022,FELTEN GROUP INC,8,0,7,1,54,7761,AZ,PHOENIX,85054,FELTEN GROUP,
2022,FIRST SOLAR INC,6,0,5,0,33,3678,AZ,TEMPE,85281,FIRST SOLAR,
2022,FLORENCE UNIFIED SCHOOL DISTRICT 1,2,0,8,0,61,557,AZ,FLORENCE,85132,FLORENCE UNIFIED SCHOOL DISTRICT 1,
2022,FOUR80 INC,5,0,13,0,54,3202,AZ,PHOENIX,85016,FOUR80,
2022,FREEDOM DEBT RELIEF LLC,2,0,18,0,54,712,AZ,TEMPE,85281,FREEDOM DEBT RELIEF,
2022,FREEDOM FINANCIAL ASSET MANAGEMENT,1,0,13,1,56,393,AZ,TEMPE,85281,FREEDOM FINANCIAL ASSET MANAGEMENT,
2022,FREEDOM FINANCIAL NETWORK FUNDING,1,0,31,1,52,9447,AZ,TEMPE,85281,FREEDOM FINANCIAL NETWORK FUNDING,
2022,FREEDOM FINANCIAL NETWORK LLC,0,0,5,0,52,4625,AZ,TEMPE,85281,FREEDOM FINANCIAL NETWORK,
2022,FREEPORT MCMORAN BAGDAD INC,1,0,5,0,21,4663,AZ,PHOENIX,85004,FREEPORT MCMORAN BAGDAD,
2022,FREEPORT MINERALS CORPORATION,5,0,8,0,21,8503,AZ,PHOENIX,85004,FREEPORT MINERALS CORPORATION,
2022,FRONTIER TECHNOLOGY LLC,3,0,6,0,54,7159,AZ,TEMPE,85284,FRONTIER TECHNOLOGY,
2022,FUELED CONSULTING GROUP LLC,4,1,7,0,54,4371,AZ,CAVE CREEK,85331,FUELED CONSULTING GROUP,
2022,GALAXY I TECHNOLOGIES INC,6,0,29,0,54,4416,AZ,SCOTTSDALE,85260,GALAXY I TECHNOLOGIES,
2022,GCON MANAGEMENT COMPANY LLC,1,0,5,0,23,4249,AZ,PHOENIX,85085,GCON MANAGEMENT COMPANY,
2022,GENESES TECH SOLUTIONS LLC,17,0,12,1,54,904,AZ,TEMPE,85283,GENESES TECH SOLUTIONS,
2022,GLOBALTRANZ ENTERPRISES INC,4,0,90,2,48,53,AZ,SCOTTSDALE,85256,GLOBALTRANZ ENTERPRISES,
2022,GODADDY COM LLC,18,0,117,3,51,417,AZ,CHANDLER,85248,GODADDY COM,
2022,H2OLOGY INC,8,0,5,0,54,5385,AZ,GILBERT,85233,H2OLOGY,
2022,HASHGEN TECHNOLOGIES INC,7,0,5,0,54,9520,AZ,PHOENIX,85016,HASHGEN TECHNOLOGIES,
2022,HEALTH SVCS ADVISORY GROUP INC,4,0,8,0,54,7,AZ,PHOENIX,85016,HEALTH SVCS ADVISORY GROUP,
2022,HILGARTWILSON LLC,4,1,20,0,54,3942,AZ,PHOENIX,85016,HILGARTWILSON,
2022,HIPOKRATIZ LLC,4,0,7,0,54,1488,AZ,TUCSON,85747,HIPOKRATIZ,
2022,HRMC LLC,4,0,5,0,62,3244,AZ,LAKE HAVASU CITY,86403,HRMC,
2022,HUMAC INC,49,1,165,2,54,650,AZ,PHOENIX,85027,HUMAC,
2022,IMS INFRASTRUCTURE MANAGEMENT SERVICES LP,85,0,51,2,54,3083,AZ,TEMPE,85284,IMS INFRASTRUCTURE MANAGEMENT SERVICES,
2022,INDIAN OASIS BABOQUIVARI UNIFIED S,5,0,5,0,61,816,AZ,SELLS,85634,INDIAN OASIS BABOQUIVARI UNIFIED S,
2022,INDIDGE SYSTEMS LLC,9,0,22,0,54,8401,AZ,PHOENIX,85004,INDIDGE SYSTEMS,
2022,INEIGHT INC,1,0,11,0,23,491,AZ,SCOTTSDALE,85258,INEIGHT,
2022,INFUSION SOFTWARE INC DBA KEAP,0,0,6,0,54,2667,AZ,CHANDLER,85286,INFUSION SOFTWARE KEAP,
2022,INHERENT TECHNOLOGIES LLC,43,3,18,1,54,629,AZ,CHANDLER,85226,INHERENT TECHNOLOGIES,
2022,INNOSOFT CORPORATION,2,1,18,0,54,2780,AZ,SCOTTSDALE,85261,INNOSOFT CORPORATION,
2022,INSIGHT DIRECT USA INC,3,0,17,0,42,8996,AZ,TEMPE,85283,INSIGHT DIRECT,
2022,INTEL AMERICAS INC,6,1,10,0,33,1945,AZ,CHANDLER,85248,INTEL AMERICAS,
2022,INTEL CORP,861,9,2783,81,33,2743,AZ,CHANDLER,85248,INTEL CORP,
2022,INTEL FEDERAL LLC,10,0,15,1,33,1828,AZ,CHANDLER,85248,INTEL FEDERAL,
2022,INTEL MASSACHUSETTS INC,5,0,38,2,33,4484,AZ,CHANDLER,85248,INTEL MASSACHUSETTS,
2022,INTEL NDTM US LLC,11,0,18,0,33,4068,AZ,CHANDLER,85248,INTEL NDTM US,
2022,INTERBIZ CONSULTING LLC,7,0,15,0,54,9492,AZ,CHANDLER,85226,INTERBIZ CONSULTING,
2022,INTRAEDGE INC,31,0,112,11,54,4547,AZ,CHANDLER,85226,INTRAEDGE,
2022,IRWIN G PASTERNACK AIA ARCHITECT P,0,0,9,0,54,8123,AZ,PHOENIX,85014,IRWIN G PASTERNACK AIA ARCHITECT P,
2022,IS T INC,5,1,8,0,54,1953,AZ,CHANDLER,85226,IS T,
2022,JOB AIRE GROUP INC,0,1,5,0,54,2285,AZ,TUCSON,85741,JOB AIRE GROUP,
2022,JPC TECHNO INC,21,2,5,0,54,9476,AZ,GILBERT,85297,JPC TECHNO,
2022,JS WALTZ CONSTRUCTION LLC,15,0,11,0,54,6906,AZ,TEMPE,85281,JS WALTZ CONSTRUCTION,
2022,KAIZEN INSTITUTE CONSULTING GROUP AMERICA LLC,4,1,13,0,54,9873,AZ,PHOENIX,85004,KAIZEN INSTITUTE CONSULTING GROUP AMERICA,
2022,"KHAN, SLAYTER & KISTLER CPA LLC",3,0,7,0,54,8091,AZ,SCOTTSDALE,85260,"KHAN, SLAYTER & KISTLER CPA",
2022,KRYTERION INC,5,0,9,2,54,55,AZ,PHOENIX,85044,KRYTERION,
2022,KYRENE ELEMENTARY SCHOOL DISTRICT,3,0,5,1,61,494,AZ,TEMPE,85284,KYRENE ELEMENTARY SCHOOL DISTRICT,
2022,LESLIE S POOLMART INC,3,0,16,0,45,298,AZ,PHOENIX,85016,LESLIE S POOLMART,
2022,LETS AMERICA INC,2,0,11,0,54,6638,AZ,CHANDLER,85226,LETS AMERICA,
2022,LGE DESIGN GROUP LLC,4,0,7,0,54,2835,AZ,PHOENIX,85008,LGE DESIGN GROUP,
2022,LIMELIGHT NETWORKS INC,120,1,375,0,54,7033,AZ,SCOTTSDALE,85257,LIMELIGHT NETWORKS,
2022,LIN CHAI RAWLINSON CPA PC,12,0,60,4,54,9393,AZ,MESA,85204,LIN CHAI RAWLINSON CPA PC,
2022,LINCUS INC,4,0,8,1,54,2198,AZ,TEMPE,85284,LINCUS,
2022,LINK LAB LLC,16,0,21,1,54,6088,AZ,PHOENIX,85016,LINK LAB,
2022,M ARTHUR GENSLER JR & ASSO INC,57,1,156,1,54,3305,AZ,PHOENIX,85016,M ARTHUR GENSLER JR & ASSO,
2022,M S ADDISON AND ASSOCIATES LLC,3,0,7,0,54,6863,AZ,TEMPE,85281,M S ADDISON AND ASSOCIATES,
2022,M3BI LLC,14,0,90,6,54,6003,AZ,SCOTTSDALE,85255,M3BI,
2022,MAGELLAN HEALTH INC,0,0,8,0,52,6937,AZ,SCOTTSDALE,85251,MAGELLAN HEALTH,
2022,MALLA SYSTEMS INC DBA EFULGENT,14,0,6,0,54,8894,AZ,GLENDALE,85308,MALLA SYSTEMS EFULGENT,
2022,MARANA HEALTH CENTER,3,0,6,0,62,3462,AZ,MARANA,85653,MARANA HEALTH CENTER,
2022,MARICOPA UNIFIED SCHOOL DISTRICT,4,1,5,0,61,1314,AZ,MARICOPA,85138,MARICOPA UNIFIED SCHOOL DISTRICT,
2022,MARKETECH INTERNATIONAL CORPORATIO,2,0,5,0,54,6186,AZ,PHOENIX,85027,MARKETECH INTERNATIONAL CORPORATIO,
2022,MASTER INTL CORP DBA MASTER ELECTR,1,0,7,0,42,67,AZ,PHOENIX,85034,MASTER INTL CORP MASTER ELECTR,
2022,METASOFTTECH SOLUTIONS LLC,3,0,12,0,54,7714,AZ,CHANDLER,85224,METASOFTTECH SOLUTIONS,
2022,MICROCHIP TECHNOLOGY INC,35,0,69,3,33,9024,AZ,CHANDLER,85224,MICROCHIP TECHNOLOGY,
2022,MICROPATENT LLC,6,0,10,1,54,8616,AZ,CHANDLER,85226,MICROPATENT,
2022,MIDSYS INC,6,0,5,0,54,983,AZ,SCOTTSDALE,85255,MIDSYS,
2022,MINDQUEST TECHNOLOGY SOLUTIONS LLC,23,2,28,4,54,3517,AZ,PHOENIX,85027,MINDQUEST TECHNOLOGY SOLUTIONS,
2022,MOD A P LLC,0,0,29,0,54,1860,AZ,PHOENIX,85014,MOD A P,
2022,NAGRA USA LLC,19,1,15,0,54,1802,AZ,PHOENIX,85018,NAGRA,
2022,NARASIMHAN CONSULTING SERVICES INC,73,0,283,10,54,3779,AZ,PHOENIX,85012,NARASIMHAN CONSULTING SERVICES,
2022,NET ANDROID CORP,17,0,15,0,54,9425,AZ,CHANDLER,85224,NET ANDROID CORP,
2022,NET ORBIT INC,6,0,15,0,54,3053,AZ,TEMPE,85282,NET ORBIT,
2022,NETFLIX INC,19,0,214,2,51,7272,AZ,PHOENIX,85032,NETFLIX,
